brass/brasssection|Brass,Brass Section,Synth Brass
vocals/leadvocals|Female Vocal,Lead Vocal,Lead,Lead Vox,Main Vocal,Male Vocal,Melody,Voc,Vocal,Vocal Main,VOX
vocals/microphone|Ad Lib,AdLib,Harmonica,Que,Voiceover
vocals/vocals|Duet,Quartet,Trio,Vocals
vocals/wirelessmic|Wireless Mic
woodwinds/altosaxophone|Alto Sax,Alto Saxophone
woodwinds/baritonesaxophone|Bari,Bari Sax,Baritone Saxophone
woodwinds/bassclarinet|Bass Clarinet
woodwinds/bassoon|Bassoon,Contrabassoon,Double Bassoon
woodwinds/clarinet|Bass Clarinet,Clarinet
woodwinds/flute|Bass Flute,Flute,Piccolo
woodwinds/oboe|Bass Oboe,Oboe
woodwinds/saxophone|Sax,Saxophone
woodwinds/sopranosaxophone|Soprano Sax,Soprano Saxophone
woodwinds/tenorsaxophone|Tenor Sax,Tenor Saxophone
woodwinds/woodwinds|Ocarina,Reeds,Shakuhachi,Wind,Woodwind
